game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
L (31-41),4,31,49,391,4,27,91,0,3.4,76,6.3,5,3,5,28,7,69,2,2,0,0,17,33,273,4,43,235,1,5.5,76,6.7,4,13,4,24,14,147,0,0
W (42-13),1,21,32,250,3,38,147,3,3.9,70,5.7,1,9,1,20,5,45,0,1,1,2,22,38,216,1,28,70,0,2.5,66,4.3,3,2,3,15,3,22,1,1
W (44-31),1,27,42,255,0,40,281,6,7.0,82,6.5,4,12,4,32,5,63,0,1,1,2,14,25,264,3,34,143,1,4.2,59,6.9,3,6,3,19,10,80,1,1
W (38-21),0,14,18,163,0,47,272,5,5.8,65,6.7,2,14,2,24,5,45,0,0,0,3,30,49,298,1,30,182,2,6.1,79,6.1,2,8,2,24,5,45,0,3
W (24-14),0,18,33,196,2,36,88,1,2.4,69,4.1,5,4,5,18,7,50,0,0,1,1,32,48,213,1,24,116,0,4.8,72,4.6,2,5,2,19,10,91,0,1
W (41-10),2,11,22,133,2,43,254,3,5.9,65,6.0,1,13,1,19,1,5,0,2,1,1,7,18,122,1,36,117,0,3.3,54,4.4,0,5,0,8,8,64,1,0
W (26-16),2,14,32,161,1,27,61,0,2.3,59,3.8,3,4,3,15,3,25,1,1,1,4,25,44,193,0,32,156,0,4.9,76,4.6,2,10,2,20,10,94,1,3
W (15-6),0,6,14,37,0,48,200,1,4.2,62,3.8,0,7,0,9,5,55,0,0,0,2,27,50,228,0,28,104,0,3.7,78,4.3,1,7,1,18,7,48,1,1
W (39-35),1,32,45,371,4,37,116,1,3.1,82,5.9,1,8,1,27,7,66,0,1,0,0,17,30,254,2,30,109,2,3.6,60,6.1,3,7,3,19,4,35,0,0
W (53-10),0,26,34,370,5,33,143,2,4.3,67,7.7,4,8,4,29,3,25,0,0,1,0,8,15,102,0,38,129,1,3.4,53,4.4,0,7,0,11,11,72,0,0
L (19-24),1,30,46,286,2,20,38,0,1.9,66,4.9,0,6,0,17,8,93,0,1,0,0,20,28,199,3,35,130,0,3.7,63,5.2,6,9,6,27,2,15,0,0
W (27-15),0,22,32,191,2,31,113,1,3.6,63,4.8,2,8,2,16,9,62,0,0,0,1,16,29,167,1,34,110,1,3.2,63,4.4,1,10,1,15,4,30,0,1
L (27-34),2,23,48,278,2,24,131,1,5.5,72,5.7,0,6,0,18,3,25,0,2,0,0,27,38,348,3,34,74,1,2.2,72,5.9,1,2,1,20,5,40,0,0
