brigham-young,southern-methodist
duke,northwestern
texas,michigan
bowling-green,penn-state
arkansas,oklahoma-state
kansas-state,tulane
georgia-tech,syracuse
rhode-island,minnesota
akron,rutgers
pittsburgh,cincinnati
merrimack,connecticut
troy,memphis
army,florida-atlantic
mcneese,texas-am
tennessee-tech,georgia
missouri-state,ball-state
st-francis-pa,kent-state
utah-tech,nevada-las-vegas
northern-illinois,notre-dame
baylor,utah
iowa-state,iowa
jacksonville-state,louisville
california,auburn
south-carolina,kentucky
michigan-state,maryland
eastern-michigan,washington
south-dakota,wisconsin
massachusetts,toledo
duquesne,boston-college
charlotte,north-carolina
idaho,wyoming
temple,navy
texas-san-antonio,texas-state
middle-tennessee,mississippi
marshall,virginia-tech
florida-am,miami
ualbany,west-virginia
central-michigan,florida-international
gardner-webb,james-madison
east-carolina,old-dominion
south-alabama,ohio
sam-houston,central-florida
south-florida,alabama
buffalo,missouri
kansas,illinois
samford,florida
william-mary,coastal-carolina
eastern-kentucky,western-kentucky
chattanooga,georgia-state
california-poly,stanford
virginia,wake-forest
louisiana,kennesaw-state
san-jose-state,air-force
northern-colorado,colorado-state
georgia-southern,nevada
tulsa,arkansas-state
uab,louisiana-monroe
southeast-louisiana,southern-miss
texas-southern,rice
western-michigan,ohio-state
tennessee,north-carolina-state
nicholls,louisiana-state
alcorn-state,vanderbilt
colorado,nebraska
stephen-f-austin,north-texas
houston,oklahoma
appalachian-state,clemson
long-island-university,tcu
southern-utah,texas-el-paso
boise-state,oregon
northern-arizona,arizona
texas-tech,washington-state
sacramento-state,fresno-state
liberty,new-mexico-state
mississippi-state,arizona-state
oregon-state,san-diego-state
utah-state,southern-california
