game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (63-0),1,12,18,266,3,47,334,6,7.1,65,9.2,2,14,2,25,7,59,1,0,1,2,22,40,103,0,27,42,0,1.6,67,2.2,1,3,1,10,4,40,0,2
W (42-10),0,16,22,226,3,34,181,3,5.3,56,7.3,0,10,0,18,4,40,0,0,0,2,18,31,141,1,41,149,0,3.6,72,4.0,2,8,2,17,4,23,2,0
L (35-40),2,18,24,310,1,21,84,4,4.0,45,8.8,0,5,0,17,6,57,1,1,0,0,16,21,252,2,54,166,2,3.1,75,5.6,4,9,4,26,3,20,0,0
L (20-66),3,18,43,214,1,27,149,1,5.5,70,5.2,4,9,4,24,7,73,1,2,0,1,32,39,460,5,34,252,4,7.4,73,9.8,1,11,1,28,8,85,1,0
L (14-48),2,21,40,266,1,28,119,1,4.3,68,5.7,3,9,3,24,6,47,1,1,1,1,16,24,154,2,43,318,5,7.4,67,7.0,3,16,3,27,9,69,1,0
W (61-39),2,19,31,422,4,26,205,4,7.9,57,11.0,1,9,1,22,9,100,1,1,1,2,24,42,260,3,38,210,2,5.5,80,5.9,4,11,4,30,8,65,0,2
W (23-10),1,19,31,197,2,30,161,0,5.4,61,5.9,1,7,1,17,5,35,0,1,0,2,20,40,280,1,29,84,0,2.9,69,5.3,0,6,0,19,3,20,0,2
W (48-7),0,14,22,258,2,49,241,2,4.9,71,7.0,2,13,2,27,4,30,0,0,1,3,10,20,78,1,32,40,0,1.3,52,2.3,1,5,1,8,7,65,1,2
W (31-28),1,19,30,246,1,42,101,3,2.4,72,4.8,3,6,3,20,8,34,0,1,0,3,29,44,268,4,31,132,0,4.3,75,5.3,0,8,0,21,8,69,2,1
W (35-31),2,15,25,172,4,45,309,1,6.9,70,6.9,3,18,3,28,8,70,1,1,1,0,18,31,260,2,33,151,2,4.6,64,6.4,3,8,3,23,6,55,0,0
L (31-39),3,26,46,416,1,47,232,3,4.9,93,7.0,0,15,0,33,7,71,2,1,0,1,27,48,326,1,26,59,2,2.3,74,5.2,4,2,4,21,6,60,0,1
W (24-14),2,12,28,151,1,55,183,2,3.3,83,4.0,2,14,2,21,4,20,0,2,0,5,20,35,285,2,26,146,0,5.6,61,7.1,0,5,0,17,5,45,1,4
W (28-24),2,21,32,255,2,43,141,1,3.3,75,5.3,3,10,3,24,8,74,1,1,1,2,16,29,199,1,32,163,2,5.1,61,5.9,2,6,2,19,6,55,1,1
L (7-52),4,9,23,118,1,35,64,0,1.8,58,3.1,0,4,0,12,5,50,2,2,0,2,16,25,253,2,48,237,5,4.9,73,6.7,1,14,1,25,2,15,0,2
W (24-7),1,1,4,44,1,58,405,2,7.0,62,7.2,1,19,1,21,6,44,1,0,0,1,25,37,193,1,17,42,0,2.5,54,4.4,1,4,1,16,4,17,0,1
W (42-14),0,3,7,72,1,57,417,5,7.3,64,7.6,0,20,0,23,3,25,0,0,0,1,19,30,224,2,22,-5,0,-0.2,52,4.2,0,0,0,12,1,10,0,1
L (14-21),5,14,27,165,1,30,121,1,4.0,57,5.0,4,5,4,16,6,46,1,4,1,0,25,36,233,2,34,99,1,2.9,70,4.7,1,7,1,18,11,77,0,0
L (14-24),5,20,35,285,2,26,146,0,5.6,61,7.1,0,5,0,17,5,45,1,4,1,2,12,28,151,1,55,183,2,3.3,83,4.0,2,14,2,21,4,20,0,2
L (0-62),1,18,32,109,0,20,6,0,0.3,52,2.2,1,2,1,9,3,15,0,1,0,0,30,40,507,6,31,243,2,7.8,71,10.6,0,9,0,31,8,85,0,0
L (7-63),3,23,38,173,1,33,77,0,2.3,71,3.5,2,7,2,19,3,20,0,3,0,0,21,29,286,5,34,220,3,6.5,63,8.0,0,12,0,29,4,45,0,0
L (12-23),1,9,21,115,1,40,108,0,2.7,61,3.7,2,6,2,12,5,37,1,0,0,0,12,23,122,2,37,170,0,4.6,60,4.9,3,8,3,15,8,71,0,0
