game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
L (31-38),1,11,21,148,2,41,166,1,4.0,62,5.1,0,9,0,15,7,69,1,0,0,0,25,41,341,2,42,91,3,2.2,83,5.2,4,8,4,24,6,45,0,0
W (56-45),1,22,31,280,1,35,371,7,10.6,66,9.9,0,10,0,23,8,90,0,1,0,1,28,50,322,2,35,139,4,4.0,85,5.4,3,9,3,27,4,35,1,0
W (45-24),1,12,21,184,2,36,276,4,7.7,57,8.1,4,10,4,21,4,30,0,1,1,1,26,37,327,2,39,89,1,2.3,76,5.5,0,8,0,21,9,63,0,1
W (28-13),0,10,16,106,2,52,263,2,5.1,68,5.4,0,12,0,18,1,15,0,0,0,1,21,42,272,1,16,21,0,1.3,58,5.1,0,3,0,13,7,50,0,1
W (23-19),1,10,16,140,1,43,152,2,3.5,59,4.9,1,9,1,16,3,25,1,0,1,4,17,35,241,0,33,127,1,3.8,68,5.4,0,9,0,21,3,25,1,3
L (27-34),2,25,40,254,2,26,121,1,4.7,66,5.7,1,4,1,20,3,18,0,2,0,1,13,20,204,2,37,234,2,6.3,57,7.7,0,10,0,21,7,76,0,1
L (27-30),1,27,36,303,2,33,96,2,2.9,69,5.8,3,8,3,23,7,65,0,1,1,0,12,27,144,2,36,189,2,5.3,63,5.3,1,9,1,16,6,48,0,0
W (18-15),3,15,29,202,1,35,134,1,3.8,64,5.3,1,6,1,16,5,45,1,2,0,3,17,36,144,0,36,117,0,3.3,72,3.6,1,8,1,18,7,69,2,1
W (38-9),0,15,21,149,2,27,92,1,3.4,48,5.0,0,7,0,14,2,20,0,0,1,3,16,29,139,0,43,228,0,5.3,72,5.1,1,11,1,17,8,50,1,2
L (0-38),1,6,20,55,0,32,114,0,3.6,52,3.3,0,6,0,9,2,30,0,1,0,1,34,42,263,0,41,255,5,6.2,83,6.2,1,17,1,28,10,80,0,1
W (23-20),1,10,17,107,1,37,77,1,2.1,54,3.4,2,4,2,9,5,74,1,0,0,2,23,43,194,0,42,165,2,3.9,85,4.2,5,8,5,24,5,55,1,1
W (21-14),0,25,36,233,2,34,99,1,2.9,70,4.7,1,7,1,18,11,77,0,0,0,5,14,27,165,1,30,121,1,4.0,57,5.0,4,5,4,16,6,46,1,4
L (9-14),1,22,37,303,0,37,107,0,2.9,74,5.5,1,9,1,23,10,55,0,1,0,1,16,27,177,1,41,107,1,2.6,68,4.2,1,7,1,17,7,72,0,1
L (16-52),6,23,44,190,2,40,179,0,4.5,84,4.4,1,11,1,22,10,70,1,5,0,0,10,18,124,2,33,185,4,5.6,51,6.1,1,8,1,15,4,55,0,0
W (37-34),1,15,21,192,2,33,335,3,10.2,54,9.8,2,10,2,19,3,35,1,0,1,0,30,40,285,3,37,146,1,3.9,77,5.6,3,9,3,27,5,55,0,0
L (7-30),3,22,45,193,1,31,131,0,4.2,76,4.3,0,6,0,17,6,44,1,2,1,2,10,18,219,2,40,194,2,4.9,58,7.1,1,7,1,15,3,30,1,1
L (14-52),1,14,23,119,1,33,137,1,4.2,56,4.6,1,6,1,13,7,51,1,0,0,0,18,27,288,1,41,222,6,5.4,68,7.5,4,14,4,29,3,33,0,0
L (27-28),1,22,38,298,3,37,151,0,4.1,75,6.0,0,7,0,21,6,59,1,0,1,1,20,35,302,3,33,196,0,5.9,68,7.3,2,10,2,24,5,50,0,1
W (34-0),0,15,19,213,2,38,149,2,3.9,57,6.4,5,7,5,22,5,35,0,0,1,3,13,21,92,0,33,148,0,4.5,54,4.4,1,8,1,12,7,68,2,1
L (3-34),1,18,29,142,0,23,46,0,2.0,52,3.6,3,4,3,13,3,15,0,1,1,0,23,33,278,2,27,169,2,6.3,60,7.5,0,8,0,19,7,70,0,0
W (59-35),0,21,34,254,3,33,269,4,8.2,67,7.8,1,14,1,24,6,75,0,0,1,3,20,31,257,2,38,179,3,4.7,69,6.3,4,8,4,24,4,29,2,1
W (29-13),0,19,34,235,2,40,265,0,6.6,74,6.8,4,13,4,28,3,30,0,0,0,1,23,41,228,2,23,22,0,1.0,64,3.9,2,3,2,14,7,75,0,1
W (55-27),2,13,20,258,3,57,294,3,5.2,77,7.2,4,13,4,25,5,35,1,1,0,3,14,27,234,1,30,123,2,4.1,57,6.3,1,8,1,16,7,59,1,2
L (24-43),2,16,33,302,2,24,82,1,3.4,57,6.7,2,3,2,14,7,52,1,1,1,0,15,23,141,2,58,384,3,6.6,81,6.5,2,16,2,26,7,75,0,0
L (10-28),2,23,40,244,1,22,16,0,0.7,62,4.2,1,3,1,15,9,104,1,1,0,0,23,30,185,1,35,149,2,4.3,65,5.1,5,10,5,22,12,105,0,0
W (38-31),0,25,41,341,2,42,91,3,2.2,83,5.2,4,8,4,24,6,45,0,0,1,1,11,21,148,2,41,166,1,4.0,62,5.1,0,9,0,15,7,69,1,0
L (0-52),2,13,24,74,0,32,118,0,3.7,56,3.4,1,4,1,11,3,25,0,2,0,1,25,33,355,4,41,190,3,4.6,74,7.4,0,10,0,26,3,25,0,1
W (27-17),1,14,22,132,1,43,224,2,5.2,65,5.5,0,9,0,14,3,25,0,1,1,1,26,44,276,2,25,48,0,1.9,69,4.7,1,2,1,15,2,18,0,1
L (7-50),3,14,33,222,1,30,88,0,2.9,63,4.9,1,3,1,11,5,42,1,2,0,0,27,37,381,3,46,248,3,5.4,83,7.6,2,12,2,29,5,45,0,0
W (48-14),1,10,15,121,2,66,421,4,6.4,81,6.7,5,23,5,32,6,69,1,0,1,1,9,16,87,0,26,163,2,6.3,42,6.0,2,3,2,9,12,93,0,1
W (26-20),2,25,40,250,3,30,93,0,3.1,70,4.9,1,4,1,18,9,80,1,1,0,2,19,35,156,0,38,132,2,3.5,73,3.9,2,7,2,19,7,57,1,1
W (45-17),1,14,21,216,3,35,124,3,3.5,56,6.1,3,7,3,17,7,64,0,1,0,4,21,35,127,1,40,168,1,4.2,75,3.9,5,6,5,18,6,55,3,1
W (20-14),4,25,38,283,0,51,183,2,3.6,89,5.2,1,9,1,26,10,70,0,4,0,2,20,34,192,1,41,95,1,2.3,75,3.8,3,5,3,17,10,95,1,1
L (24-35),2,20,36,204,0,32,127,3,4.0,68,4.9,4,7,4,21,5,30,1,1,0,2,19,32,223,4,45,191,1,4.2,77,5.4,0,14,0,26,9,91,1,1
W (28-14),0,17,28,241,1,35,134,2,3.8,63,6.0,3,8,3,21,7,82,0,0,0,0,20,30,177,0,41,152,2,3.7,71,4.6,5,11,5,24,10,99,0,0
W (37-34),0,27,39,295,3,52,152,1,2.9,91,4.9,2,8,2,27,11,99,0,0,1,0,24,34,311,2,33,112,1,3.4,67,6.3,5,6,5,24,9,82,0,0
L (17-41),2,14,26,122,0,28,139,2,5.0,54,4.8,2,8,2,17,2,25,0,2,1,1,26,36,385,3,33,144,2,4.4,69,7.7,2,8,2,25,2,26,0,1
W (45-28),1,26,28,277,3,36,226,3,6.3,64,7.9,2,13,2,27,6,54,1,0,0,1,20,34,240,1,56,240,3,4.3,90,5.3,4,15,4,31,8,70,1,0
L (10-16),2,12,25,116,1,47,132,0,2.8,72,3.4,6,7,6,19,5,55,0,2,0,3,10,24,114,0,37,179,2,4.8,61,4.8,2,8,2,15,12,140,1,2
W (38-20),0,14,26,161,0,52,259,5,5.0,78,5.4,1,12,1,22,11,82,0,0,1,5,21,35,281,3,25,87,0,3.5,60,6.1,2,6,2,22,5,29,2,3
L (7-31),1,20,29,129,1,30,53,0,1.8,59,3.1,1,5,1,13,3,25,0,1,0,0,15,25,180,1,40,234,3,5.9,65,6.4,0,13,0,23,9,80,0,0
L (20-38),5,21,35,281,3,25,87,0,3.5,60,6.1,2,6,2,22,5,29,2,3,0,0,14,26,161,0,52,259,5,5.0,78,5.4,1,12,1,22,11,82,0,0
L (21-24),0,19,27,193,0,31,98,2,3.2,58,5.0,2,6,2,20,1,10,0,0,1,0,11,16,146,0,36,190,3,5.3,52,6.5,0,12,0,18,3,35,0,0
L (12-20),3,16,31,201,0,24,37,1,1.5,55,4.3,0,3,0,11,6,43,2,1,1,1,25,39,272,2,32,65,0,2.0,71,4.7,3,5,3,19,5,35,0,1
L (16-42),3,12,34,222,2,26,63,0,2.4,60,4.8,1,3,1,13,10,79,0,3,0,1,16,23,254,3,51,204,2,4.0,74,6.2,3,11,3,23,7,61,1,0
L (10-30),2,22,36,235,1,22,9,0,0.4,58,4.2,3,2,3,18,3,19,0,2,0,1,16,27,121,2,34,148,0,4.4,61,4.4,1,8,1,18,5,70,0,1
W (38-21),1,27,34,252,2,33,93,2,2.8,67,5.1,5,5,5,22,5,45,1,0,0,3,33,53,338,1,28,147,1,5.3,81,6.0,1,9,1,25,17,128,1,2
W (34-3),0,23,33,278,2,27,169,2,6.3,60,7.5,0,8,0,19,7,70,0,0,1,1,18,29,142,0,23,46,0,2.0,52,3.6,3,4,3,13,3,15,0,1
L (34-41),4,27,50,439,3,26,80,2,3.1,76,6.8,2,5,2,25,6,50,1,3,0,1,27,33,374,2,32,173,3,5.4,65,8.4,0,6,0,21,10,90,0,1
L (45-56),1,28,50,322,2,35,139,4,4.0,85,5.4,3,9,3,27,4,35,1,0,1,1,22,31,280,1,35,371,7,10.6,66,9.9,0,10,0,23,8,90,0,1
L (13-52),2,23,33,157,1,37,38,0,1.0,70,2.8,6,4,6,17,6,51,1,1,0,1,23,33,388,4,36,219,3,6.1,69,8.8,1,12,1,26,11,135,0,1
L (12-35),1,19,34,210,1,29,150,0,5.2,63,5.7,1,9,1,19,4,40,1,0,0,1,25,30,274,2,34,225,3,6.6,64,7.8,1,8,1,22,8,72,0,1
L (21-38),3,23,45,356,2,15,29,1,1.9,60,6.4,0,1,0,15,4,45,0,3,1,2,24,39,237,1,48,261,4,5.4,87,5.7,2,14,2,30,2,15,2,0
W (24-21),0,11,16,146,0,36,190,3,5.3,52,6.5,0,12,0,18,3,35,0,0,1,0,19,27,193,0,31,98,2,3.2,58,5.0,2,6,2,20,1,10,0,0
L (28-31),0,29,40,266,1,24,112,3,4.7,64,5.9,1,7,1,19,3,15,0,0,0,0,32,46,381,4,32,134,0,4.2,78,6.6,0,8,0,27,5,45,0,0
W (24-14),0,23,31,167,2,49,245,1,5.0,80,5.2,2,14,2,25,5,45,0,0,1,1,18,31,205,2,20,74,0,3.7,51,5.5,2,4,2,15,7,55,0,1
L (13-16),3,25,42,227,1,28,51,0,1.8,70,4.0,3,3,3,18,10,97,1,2,1,2,19,38,272,1,20,71,0,3.6,58,5.9,4,3,4,19,6,60,0,2
L (24-27),1,26,44,272,3,29,84,0,2.9,73,4.9,3,8,3,24,7,66,0,1,0,0,24,33,224,1,34,99,2,2.9,67,4.8,2,5,2,19,9,104,0,0
L (7-27),2,22,38,209,1,26,38,0,1.5,64,3.9,1,4,1,14,10,74,0,2,1,1,7,14,113,2,48,195,0,4.1,62,5.0,1,8,1,14,6,48,0,1
W (33-7),0,12,21,142,1,42,237,3,5.6,63,6.0,0,9,0,16,5,64,0,0,1,2,16,27,84,0,24,75,1,3.1,51,3.1,3,3,3,9,4,30,1,1
L (0-20),3,9,16,72,0,31,169,0,5.5,47,5.1,1,8,1,11,7,77,1,2,1,0,17,28,153,1,38,240,1,6.3,66,6.0,2,7,2,19,3,20,0,0
W (23-17),1,16,25,192,0,34,79,1,2.3,59,4.6,0,5,0,14,2,20,1,0,1,4,18,32,141,2,33,178,0,5.4,65,4.9,1,10,1,18,2,25,1,3
W (31-24),2,21,27,215,4,39,166,0,4.3,66,5.8,5,9,5,25,3,20,2,0,0,1,24,35,297,3,33,48,0,1.5,68,5.1,0,7,0,20,10,89,0,1
W (31-7),0,15,25,180,1,40,234,3,5.9,65,6.4,0,13,0,23,9,80,0,0,1,1,20,29,129,1,30,53,0,1.8,59,3.1,1,5,1,13,3,25,0,1
W (52-14),0,18,27,288,1,41,222,6,5.4,68,7.5,4,14,4,29,3,33,0,0,1,1,14,23,119,1,33,137,1,4.2,56,4.6,1,6,1,13,7,51,1,0
L (19-20),2,13,29,99,0,38,204,2,5.4,67,4.5,0,9,0,16,3,35,0,2,1,1,23,36,272,2,28,89,0,3.2,64,5.6,2,4,2,15,7,36,0,1
W (31-14),0,11,19,62,0,45,272,4,6.0,64,5.2,1,14,1,18,1,10,0,0,0,2,22,37,209,2,21,79,0,3.8,58,5.0,0,5,0,15,5,35,0,2
W (20-19),1,23,36,272,2,28,89,0,3.2,64,5.6,2,4,2,15,7,36,0,1,0,2,13,29,99,0,38,204,2,5.4,67,4.5,0,9,0,16,3,35,0,2
W (20-0),0,17,28,153,1,38,240,1,6.3,66,6.0,2,7,2,19,3,20,0,0,0,3,9,16,72,0,31,169,0,5.5,47,5.1,1,8,1,11,7,77,1,2
L (17-23),4,18,32,141,2,33,178,0,5.4,65,4.9,1,10,1,18,2,25,1,3,0,1,16,25,192,0,34,79,1,2.3,59,4.6,0,5,0,14,2,20,1,0
L (28-32),2,15,25,184,1,47,247,3,5.3,72,6.0,0,15,0,25,5,42,1,1,0,2,15,30,295,2,33,148,2,4.5,63,7.0,2,7,2,23,3,20,0,2
W (34-27),0,15,23,181,2,33,215,1,6.5,56,7.1,1,9,1,19,8,65,0,0,0,2,19,29,342,2,37,149,1,4.0,66,7.4,3,5,3,21,9,80,1,1
L (9-38),3,16,29,139,0,43,228,0,5.3,72,5.1,1,11,1,17,8,50,1,2,0,0,15,21,149,2,27,92,1,3.4,48,5.0,0,7,0,14,2,20,0,0
L (24-55),2,14,28,181,2,38,31,0,0.8,66,3.2,2,5,2,15,6,40,1,1,0,2,35,49,369,4,32,201,2,6.3,81,7.0,3,8,3,31,7,65,1,1
L (0-56),0,2,13,18,0,30,48,0,1.6,43,1.5,2,3,2,6,2,20,0,0,0,1,24,31,409,5,50,309,3,6.2,81,8.9,2,19,2,40,7,65,0,1
W (31-0),1,12,18,169,3,24,148,1,6.2,42,7.5,2,10,2,19,4,45,0,1,1,2,13,19,126,0,12,5,0,0.4,31,4.2,1,1,1,7,4,20,0,2
L (12-13),1,14,28,114,0,45,170,0,3.8,73,3.9,4,12,4,23,4,23,1,0,1,0,15,24,160,0,30,102,1,3.4,54,4.9,0,5,0,12,9,85,0,0
W (20-17),0,18,28,243,1,47,93,1,2.0,75,4.5,3,11,3,22,3,30,0,0,0,1,18,27,261,1,29,92,1,3.2,56,6.3,0,6,0,14,8,53,1,0
W (30-24),0,16,29,256,0,35,217,2,6.2,64,7.4,1,10,1,18,11,122,0,0,0,1,9,22,158,2,43,127,1,3.0,65,4.4,6,6,6,18,9,58,1,0
W (35-24),2,19,32,223,4,45,191,1,4.2,77,5.4,0,14,0,26,9,91,1,1,1,2,20,36,204,0,32,127,3,4.0,68,4.9,4,7,4,21,5,30,1,1
W (34-10),0,17,22,197,1,36,257,3,7.1,58,7.8,1,13,1,21,5,45,0,0,0,0,7,13,93,0,37,111,1,3.0,50,4.1,1,6,1,12,4,35,0,0
W (41-38),0,20,29,257,3,33,209,2,6.3,62,7.5,1,8,1,24,8,83,0,0,0,1,29,36,254,1,37,218,4,5.9,73,6.5,5,8,5,28,4,36,0,1
L (20-30),2,19,36,281,1,19,33,1,1.7,55,5.7,0,3,0,12,2,20,1,1,0,1,22,33,210,0,36,151,2,4.2,69,5.2,1,9,1,20,4,40,0,1
L (10-17),1,26,37,218,0,29,79,1,2.7,66,4.5,0,6,0,16,8,80,1,0,0,1,18,32,217,1,36,87,1,2.4,68,4.5,4,6,4,21,4,25,1,0
W (32-6),0,9,16,87,0,48,209,2,4.4,64,4.6,2,12,2,18,6,45,0,0,1,3,22,32,167,0,35,92,0,2.6,67,3.9,0,9,0,18,9,66,2,1
W (13-9),1,6,11,135,0,38,112,1,2.9,49,5.0,3,7,3,13,8,65,0,1,0,0,7,12,71,0,45,189,0,4.2,57,4.6,3,10,3,17,10,84,0,0
W (49-14),0,23,35,377,2,36,233,5,6.5,71,8.6,2,11,2,29,5,42,0,0,1,1,17,28,160,1,32,130,1,4.1,60,4.8,3,7,3,19,5,55,0,1
L (24-31),3,24,41,264,3,35,131,0,3.7,76,5.2,1,7,1,19,6,50,2,1,0,2,17,23,163,2,31,117,2,3.8,54,5.2,1,4,1,11,5,45,2,0
L (20-27),1,29,38,304,2,26,117,0,4.5,64,6.6,0,4,0,21,10,99,0,1,1,0,27,37,378,1,23,69,2,3.0,60,7.5,3,5,3,24,6,50,0,0
W (34-17),0,32,44,352,3,28,102,1,3.6,72,6.3,3,7,3,27,5,22,0,0,1,2,22,36,281,2,22,14,0,0.6,58,5.1,1,4,1,17,9,80,1,1
L (14-31),1,13,36,131,1,26,147,1,5.7,62,4.5,1,5,1,12,5,58,0,1,0,0,14,21,130,1,51,208,2,4.1,72,4.7,3,11,3,20,8,58,0,0
W (27-20),1,15,25,177,3,39,243,0,6.2,64,6.6,0,13,0,20,3,35,1,0,1,1,15,28,126,1,41,192,1,4.7,69,4.6,2,13,2,21,3,30,1,0
W (50-7),0,27,37,381,3,46,248,3,5.4,83,7.6,2,12,2,29,5,45,0,0,1,3,14,33,222,1,30,88,0,2.9,63,4.9,1,3,1,11,5,42,1,2
W (27-13),0,28,43,263,2,37,128,1,3.5,80,4.9,0,11,0,21,8,66,0,0,0,4,21,37,247,0,30,123,1,4.1,67,5.5,2,8,2,18,2,14,2,2
W (38-17),0,20,30,161,1,29,211,4,7.3,59,6.3,6,12,6,25,7,71,0,0,1,1,16,26,150,0,34,101,2,3.0,60,4.2,3,6,3,17,8,73,1,0
L (44-56),1,33,57,385,2,38,274,4,7.2,95,6.9,1,13,1,32,4,35,0,1,0,0,10,14,205,2,39,361,5,9.3,53,10.7,0,13,0,21,5,31,0,0
W (41-17),1,26,36,385,3,33,144,2,4.4,69,7.7,2,8,2,25,2,26,0,1,0,2,14,26,122,0,28,139,2,5.0,54,4.8,2,8,2,17,2,25,0,2
W (50-15),1,24,34,404,3,29,188,4,6.5,63,9.4,3,7,3,27,11,113,0,1,0,2,26,43,303,1,32,62,0,1.9,75,4.9,5,4,5,23,11,73,0,2
L (6-13),2,22,37,227,0,24,40,0,1.7,61,4.4,1,2,1,17,3,15,0,2,0,2,18,30,178,0,31,150,1,4.8,61,5.4,1,9,1,20,4,35,2,0
L (3-28),2,14,36,119,0,28,110,0,3.9,64,3.6,3,8,3,17,10,100,0,2,0,2,17,28,158,1,36,270,3,7.5,64,6.7,5,8,5,24,8,66,2,0
L (20-30),1,23,46,296,2,23,54,0,2.3,69,5.1,1,2,1,18,5,43,0,1,0,2,27,39,318,2,37,78,1,2.1,76,5.2,3,6,3,25,6,40,0,2
W (30-10),1,16,27,121,2,34,148,0,4.4,61,4.4,1,8,1,18,5,70,0,1,1,2,22,36,235,1,22,9,0,0.4,58,4.2,3,2,3,18,3,19,0,2
W (28-18),3,13,18,134,1,44,301,3,6.8,62,7.0,0,14,0,20,7,69,0,3,1,1,26,44,222,2,25,58,0,2.3,69,4.1,3,4,3,17,3,25,0,1
W (27-24),1,10,18,86,1,43,155,2,3.6,61,4.0,1,9,1,15,5,54,0,1,1,2,27,41,258,1,25,38,2,1.5,66,4.5,2,6,2,20,7,51,1,1
W (16-10),3,10,24,114,0,37,179,2,4.8,61,4.8,2,8,2,15,12,140,1,2,1,2,12,25,116,1,47,132,0,2.8,72,3.4,6,7,6,19,5,55,0,2
L (19-23),4,17,35,241,0,33,127,1,3.8,68,5.4,0,9,0,21,3,25,1,3,0,1,10,16,140,1,43,152,2,3.5,59,4.9,1,9,1,16,3,25,1,0
L (3-52),2,25,40,250,0,25,28,0,1.1,65,4.3,2,4,2,18,8,58,1,1,0,0,27,31,397,1,42,258,6,6.1,73,9.0,0,13,0,34,8,80,0,0
L (17-45),4,21,35,127,1,40,168,1,4.2,75,3.9,5,6,5,18,6,55,3,1,1,1,14,21,216,3,35,124,3,3.5,56,6.1,3,7,3,17,7,64,0,1
L (17-19),1,13,22,165,0,33,79,2,2.4,55,4.4,2,6,2,14,6,50,1,0,1,2,14,23,105,0,41,147,1,3.6,64,3.9,3,9,3,18,3,45,1,1
L (14-31),2,22,37,209,2,21,79,0,3.8,58,5.0,0,5,0,15,5,35,0,2,1,0,11,19,62,0,45,272,4,6.0,64,5.2,1,14,1,18,1,10,0,0
W (24-17),1,15,19,169,0,40,193,3,4.8,59,6.1,5,11,5,23,4,50,1,0,1,3,23,38,200,1,28,173,1,6.2,66,5.7,2,7,2,22,8,59,1,2
L (23-30),1,18,28,268,2,27,24,1,0.9,55,5.3,2,4,2,18,3,35,1,0,0,0,10,20,69,0,57,346,2,6.1,77,5.4,0,23,0,26,9,85,0,0
L (28-45),1,20,34,240,1,56,240,3,4.3,90,5.3,4,15,4,31,8,70,1,0,1,1,26,28,277,3,36,226,3,6.3,64,7.9,2,13,2,27,6,54,1,0
W (38-0),1,34,42,263,0,41,255,5,6.2,83,6.2,1,17,1,28,10,80,0,1,1,1,6,20,55,0,32,114,0,3.6,52,3.3,0,6,0,9,2,30,0,1
W (30-27),0,23,37,226,2,40,216,1,5.4,77,5.7,1,9,1,22,3,33,0,0,1,0,14,23,178,2,36,146,1,4.1,59,5.5,1,8,1,15,8,93,0,0
W (38-11),0,5,9,112,1,51,297,4,5.8,60,6.8,0,12,0,17,4,40,0,0,1,3,30,46,277,1,20,35,0,1.8,66,4.7,2,3,2,16,9,68,1,2
W (41-18),0,9,11,225,2,42,227,3,5.4,53,8.5,3,14,3,22,6,47,0,0,0,2,14,23,202,1,43,192,1,4.5,66,6.0,2,11,2,22,11,104,0,2
W (40-7),1,25,36,284,2,47,223,3,4.7,83,6.1,5,11,5,30,3,35,1,0,1,2,16,26,149,1,24,56,0,2.3,50,4.1,0,5,0,12,9,76,0,2
L (24-31),1,24,35,297,3,33,48,0,1.5,68,5.1,0,7,0,20,10,89,0,1,1,2,21,27,215,4,39,166,0,4.3,66,5.8,5,9,5,25,3,20,2,0
L (24-29),0,15,28,150,2,43,148,1,3.4,71,4.2,5,5,5,16,11,81,0,0,1,1,21,35,308,1,34,100,2,2.9,69,5.9,3,5,3,22,11,125,0,1
L (17-20),1,23,35,271,1,42,227,1,5.4,77,6.5,4,12,4,26,14,134,1,0,1,0,23,37,243,2,19,42,0,2.2,56,5.1,4,5,4,20,10,100,0,0
L (31-35),1,23,31,226,2,36,190,2,5.3,67,6.2,2,11,2,23,8,75,0,1,0,0,23,42,327,3,27,114,2,4.2,69,6.4,3,8,3,27,8,75,0,0
W (27-7),1,7,14,113,2,48,195,0,4.1,62,5.0,1,8,1,14,6,48,0,1,0,2,22,38,209,1,26,38,0,1.5,64,3.9,1,4,1,14,10,74,0,2
W (59-14),0,14,17,198,3,39,252,3,6.5,56,8.0,4,11,4,25,8,67,0,0,1,4,28,45,316,1,31,30,1,1.0,76,4.6,4,4,4,24,7,78,0,4
